Article Identification Number,Title,Authors,Year,Month,Journal,Volume,Issue,Page Numbers,DOI
4-12-2014,Children conform to the behavior of peers; other great apes stick with what they know.,"DB Haun, Y Rekers, M Tomasello",2014,Dec,Psychological Science,25,12,2160–2167,10.1177/0956797614553235
5-12-2014,Behavioral and neural valuation of foods is driven by implicit knowledge of caloric content.,"DW Tang, LK Fellows, A Dagher",2014,Dec,Psychological Science,25,12,2168-76,10.1177/0956797614552081
19-12-2014,Incorporating culture into the study of affect and health.,"SD Pressman, MW Gallagher, SJ Lopez, B Campos",2014,Dec,Psychological Science,25,12,2281–2283,10.1177/0956797614551573
6-12-2014,Optimism and death: predicting the course and consequences of depression trajectories in response to heart attack.,"IR Galatzer-Levy, GA Bonanno",2014,Dec,Psychological Science,25,12,2177-88,10.1177/0956797614551750
15-12-2014,In pain thou shalt bring forth children: the peak-and-end rule in recall of labor pain.,"E Chajut, A Caspi, R Chen, M Hod, D Ariely",2014,Dec,Psychological Science,25,12,2266-71,10.1177/0956797614551004
7-12-2014,The long reach of one's spouse: spouses' personality influences occupational success.,"BC Solomon, JJ Jackson",2014,Dec,Psychological Science,25,12,2189-98,10.1177/0956797614551370
1-12-2014,Subliminal strengthening: improving older individuals' physical function over time with an implicit-age-stereotype intervention.,"BR Levy, C Pilver, PH Chung, MD Slade",2014,Dec,Psychological Science,25,12,2127-35,10.1177/0956797614551970
8-12-2014,Blind insight: metacognitive discrimination despite chance task performance.,"RB Scott, Z Dienes, AB Barrett, D Bor, AK Seth",2014,Dec,Psychological Science,25,12,2199-208,10.1177/0956797614553944
12-12-2014,"Growth and change in attention problems, disruptive behavior, and achievement from kindergarten to fifth grade.","A Claessens, C Dowsett",2014,Dec,Psychological Science,25,12,2241-51,10.1177/0956797614554265
19-2-2014,Genetic factors that increase male facial masculinity decrease facial attractiveness of female relatives.,"AJ Lee, DG Mitchem, MJ Wright, NG Martin, MC Keller, BP Zietsch",2014,Feb,Psychological Science,25,2,476-84,10.1177/0956797613510724
37-2-2014,Show me the numbers: precision as a cue to others' confidence.,"A Jerez-Fernandez, AN Angulo, DM Oppenheimer",2014,Feb,Psychological Science,25,2,633-5,10.1177/0956797613504301
21-2-2014,Loss attention in a dual-task setting.,"E Yechiam, G Hochman",2014,Feb,Psychological Science,25,2,494-502,10.1177/0956797613510725
25-2-2014,Saving in cycles: how to get people to save more money.,"L Tam, U Dholakia",2014,Feb,Psychological Science,25,2,531-7,10.1177/0956797613512129
34-2-2014,Better off than we know: distorted perceptions of incomes and income inequality in America.,"JR Chambers, LK Swan, M Heesacker",2014,Feb,Psychological Science,25,2,613-8,10.1177/0956797613504965
17-2-2014,Heart rate variability predicts control over memory retrieval.,"BL Gillie, MW Vasey, JF Thayer",2014,Feb,Psychological Science,25,2,458-65,10.1177/0956797613508789
23-2-2014,Tracing the trajectory of skill learning with a very large sample of online game players.,"T Stafford, M Dewar",2014,Feb,Psychological Science,25,2,511-8,10.1177/0956797613511466
3-2-2014,Power anomalies in testing mediation.,"DA Kenny, CM Judd",2014,Feb,Psychological Science,25,2,334-9,10.1177/0956797613502676
31-2-2014,Multiple levels of bilingual language control: evidence from language intrusions in reading aloud.,"TH Gollan, ER Schotter, J Gomez, M Murillo, K Rayner",2014,Feb,Psychological Science,25,2,585-95,10.1177/0956797613512661
18-2-2014,Reward-based transfer from bottom-up to top-down search tasks.,"J Lee, S Shomstein",2014,Feb,Psychological Science,25,2,466-75,10.1177/0956797613509284
36-2-2014,Task relevance induces momentary changes in the functional visual field during reading.,"JK Kaakinen, J Hyí_ní_",2014,Feb,Psychological Science,25,2,626-32,10.1177/0956797613512332
2-2-2014,Intercommunication between prefrontal and posterior brain regions for protecting visual working memory from distractor interference.,"AM Liesefeld, HR Liesefeld, HD Zimmer",2014,Feb,Psychological Science,25,2,325-33,10.1177/0956797613501170
20-2-2014,Looking away before moving forward: changes in optic-flow perception precede locomotor development.,"N Shirai, T Imura",2014,Feb,Psychological Science,25,2,485-93,10.1177/0956797613510723
27-2-2014,Conditional automaticity in response selection: contingent involuntary response inhibition with varied stimulus-response mapping.,"BA Anderson, CL Folk",2014,Feb,Psychological Science,25,2,547-54,10.1177/0956797613511086
9-2-2014,Emotion strengthens high-priority memory traces but weakens low-priority memory traces.,"M Sakaki, K Fryer, M Mather",2014,Feb,Psychological Science,25,2,387-95,10.1177/0956797613504784
4-2-2014,Stereotyping to infer group membership creates plausible deniability for prejudice-based aggression.,"WT Cox, PG Devine",2014,Feb,Psychological Science,25,2,340-8,10.1177/0956797613501171
14-2-2014,Fertile and selectively flirty: women's behavior toward men changes across the ovulatory cycle.,"SM Cantí_, JA Simpson, V Griskevicius, YJ Weisberg, KM Durante, DJ Beal",2014,Feb,Psychological Science,25,2,431-8,10.1177/0956797613508413
5-2-2014,Nonconscious emotional activation colors first impressions: a regulatory role for conscious awareness.,"RC Lapate, B Rokers, T Li, RJ Davidson",2014,Feb,Psychological Science,25,2,349-57,10.1177/0956797613503175
26-2-2014,Healthier by precommitment.,"J Schwartz, D Mochon, L Wyper, J Maroba, D Patel, D Ariely",2014,Feb,Psychological Science,25,2,538-46,10.1177/0956797613510950
1-2-2014,Inhibition drives early feature-based attention.,"J Moher, BM Lakshmanan, HE Egeth, JB Ewen",2014,Feb,Psychological Science,25,2,315-24,10.1177/0956797613511257
29-2-2014,Rapid fear detection relies on high spatial frequencies.,"T Stein, K Seymour, MN Hebart, P Sterzer",2014,Feb,Psychological Science,25,2,566-74,10.1177/0956797613512509
32-2-2014,The value of exercising control over monetary gains and losses.,"LA Leotti, MR Delgado",2014,Feb,Psychological Science,25,2,596-604,10.1177/0956797613514589
6-2-2014,"Long-term relations among prosocial-media use, empathy, and prosocial behavior.","S Prot, DA Gentile, CA Anderson, K Suzuki, E Swing, KM Lim, Y Horiuchi, M Jelic, B Krahé, W Liuqing, AK Liau, A Khoo, PD Petrescu, A Sakamoto, S Tajima, RA Toma, W Warburton, X Zhang, BC Lam",2014,Feb,Psychological Science,25,2,358-68,10.1177/0956797613503854
28-2-2014,Feeling better: separate pathways for targeted enhancement of spatial and temporal touch.,"JM Yau, P Celnik, SS Hsiao, JE Desmond",2014,Feb,Psychological Science,25,2,555-65,10.1177/0956797613511467
8-2-2014,"Please tap the shape, anywhere you like: Shape skeletons in human vision revealed by an exceedingly simple measure.","C Firestone, BJ Scholl",2014,Feb,Psychological Science,25,2,377-86,10.1177/0956797613507584
16-2-2014,Deferred feedback sharply dissociates implicit and explicit category learning.,"JD Smith, J Boomer, AC Zakrzewski, JL Roeder, BA Church, FG Ashby",2014,Feb,Psychological Science,25,2,447-57,10.1177/0956797613509112
30-2-2014,Nothing to declare: mandatory and voluntary disclosure leads advisors to avoid conflicts of interest.,"S Sah, G Loewenstein",2014,Feb,Psychological Science,25,2,575-84,10.1177/0956797613511824
7-2-2014,Debiasing the mind through meditation: mindfulness and the sunk-cost bias.,"AC Hafenbrack, Z Kinias, SG Barsade",2014,Feb,Psychological Science,25,2,369-76,10.1177/0956797613503853
33-2-2014,What does physical rotation reveal about mental rotation?,"AL Gardony, HA Taylor, TT Brunyé",2014,Feb,Psychological Science,25,2,605-12,10.1177/0956797613503174
15-2-2014,Racial progress as threat to the status hierarchy: implications for perceptions of anti-White bias.,"CL Wilkins, CR Kaiser",2014,Feb,Psychological Science,25,2,439-46,10.1177/0956797613508412
35-2-2014,Self-affirmation among the poor: cognitive and behavioral implications.,"CC Hall, J Zhao, E Shafir",2014,Feb,Psychological Science,25,2,619-25,10.1177/0956797613510949
13-2-2014,Residents of poor nations have a greater sense of meaning in life than residents of wealthy nations.,"S Oishi, E Diener",2014,Feb,Psychological Science,25,2,422-30,10.1177/0956797613507286
22-2-2014,Political attitudes bias the mental representation of a presidential candidate's face.,"AI Young, KG Ratner, RH Fazio",2014,Feb,Psychological Science,25,2,503-10,10.1177/0956797613510717
12-2-2014,"Time, money, and morality.","F Gino, C Mogilner",2014,Feb,Psychological Science,25,2,414-21,10.1177/0956797613506438
28-1-2014,What is the difference between OASIS and OPERA? Roughly five pixels: orthographic structure biases the perceived length of letter strings.,"F Chetail, A Content",2014,Jan,Psychological Science,25,1,243-9,10.1177/0956797613500508
33-1-2014,The price had better be right: women's reactions to sexual stimuli vary with market factors.,"KD Vohs, J Sengupta, DW Dahl",2014,Jan,Psychological Science,25,1,278-83,10.1177/0956797613502732
37-1-2014,Unconscious processing of an abstract concept.,"Z Lin, SO Murray",2014,Jan,Psychological Science,25,1,296-8,10.1177/0956797613504964
14-1-2014,The Thatcher illusion reveals orientation dependence in brain regions involved in processing facial expressions.,"L Psalta, AW Young, P Thompson, TJ Andrews",2014,Jan,Psychological Science,25,1,128-36,10.1177/0956797613501521
32-1-2014,Behavioral sensitivity to reward is reduced for far objects.,"DA O'Connor, B Meade, O Carter, S Rossiter, R Hester",2014,Jan,Psychological Science,25,1,271-7,10.1177/0956797613503663
40-1-2014,"Replications should be performed with power and precision: a response to Rommers, Meyer, and Huettig (2013).",RA Zwaan,2014,Jan,Psychological Science,25,1,305-7,10.1177/0956797613509634
15-1-2014,The liberal illusion of uniqueness.,"C Stern, TV West, PG Schmitt",2014,Jan,Psychological Science,25,1,137-44,10.1177/0956797613500796
36-1-2014,Oxytocin decreases accuracy in the perception of social deception.,"S Israel, E Hart, E Winter",2014,Jan,Psychological Science,25,1,293-5,10.1177/0956797613500794
22-1-2014,Religion and intergroup conflict: findings from the Global Group Relations Project.,"SL Neuberg, CM Warner, SA Mistler, A Berlin, ED Hill, JD Johnson, G Filip-Crawford, RE Millsap, G Thomas, M Winkelman, BJ Broome, TJ Taylor, J Schober",2014,Jan,Psychological Science,25,1,198-206,10.1177/0956797613504303
39-1-2014,"Parents are slightly happier than nonparents, but causality still cannot be inferred: a reply to Bhargava, Kassam, and Loewenstein (2014).","SK Nelson, K Kushlev, EW Dunn, S Lyubomirsky",2014,Jan,Psychological Science,25,1,303-4,10.1177/0956797613508561
29-1-2014,Human infants' learning of social structures: the case of dominance hierarchy.,"O Mascaro, G Csibra",2014,Jan,Psychological Science,25,1,250-5,10.1177/0956797613500509
8-1-2014,Developmental reversals in risky decision making: intelligence agents show larger decision biases than college students.,"VF Reyna, CF Chick, JC Corbin, AN Hsia",2014,Jan,Psychological Science,25,1,76-84,10.1177/0956797613497022
6-1-2014,The bright side of stress-induced eating: eating more when stressed but less when pleased.,"G Sproesser, HT Schupp, B Renner",2014,Jan,Psychological Science,25,1,58-65,10.1177/0956797613494849
4-1-2014,Top-down effects where none should be found: the El Greco fallacy in perception research.,"C Firestone, BJ Scholl",2014,Jan,Psychological Science,25,1,38-46,10.1177/0956797613485092
17-1-2014,National differences in environmental concern and performance are predicted by country age.,"HE Hershfield, HM Bang, EU Weber",2014,Jan,Psychological Science,25,1,152-60,10.1177/0956797613501522
18-1-2014,Toddlers infer higher-order relational principles in causal learning.,"CM Walker, A Gopnik",2014,Jan,Psychological Science,25,1,161-9,10.1177/0956797613502983
24-1-2014,Saccades toward the target are planned as sequences rather than as single steps.,"JP De Vries, IT Hooge, FA Verstraten",2014,Jan,Psychological Science,25,1,215-23,10.1177/0956797613497020
31-1-2014,Separate mechanisms for perception of numerosity and density.,"G Anobile, GM Cicchini, DC Burr",2014,Jan,Psychological Science,25,1,265-70,10.1177/0956797613501520
25-1-2014,Helping fellow beings: anthropomorphized social causes and the role of anticipatory guilt.,"HK Ahn, HJ Kim, P Aggarwal",2014,Jan,Psychological Science,25,1,224-9,10.1177/0956797613496823
16-1-2014,Below-baseline suppression of competitors during interference resolution by younger but not older adults.,"MK Healey, KW Ngo, L Hasher",2014,Jan,Psychological Science,25,1,145-51,10.1177/0956797613501169
30-1-2014,The ground side of an object: perceived as shapeless yet processed for semantics.,"JL Sanguinetti, JJ Allen, MA Peterson",2014,Jan,Psychological Science,25,1,256-64,10.1177/0956797613502814
5-1-2014,War's enduring effects on the development of egalitarian motivations and in-group biases.,"M Bauer, A Cassar, J Chytilovíç, J Henrich",2014,Jan,Psychological Science,25,1,47-57,10.1177/0956797613493444
20-1-2014,"Repeating the past: prevention focus motivates repetition, even for unethical decisions.","S Zhang, JF Cornwell, ET Higgins",2014,Jan,Psychological Science,25,1,179-87,10.1177/0956797613502363
1-1-2014,Business not as usual.,E Eich,2014,Jan,Psychological Science,25,1,3 - 6,10.1177/0956797613512465
19-1-2014,"Awe, uncertainty, and agency detection.","P Valdesolo, J Graham",2014,Jan,Psychological Science,25,1,170-8,10.1177/0956797613501884
23-1-2014,"Patients with left spatial neglect also neglect the ""left side"" of time.","A Saj, O Fuhrman, P Vuilleumier, L Boroditsky",2014,Jan,Psychological Science,25,1,207-14,10.1177/0956797612475222
7-1-2014,Kinesthesis can make an invisible hand visible.,"KC Dieter, B Hu, DC Knill, R Blake, D Tadin",2014,Jan,Psychological Science,25,1,66-75,10.1177/0956797613497968
27-1-2014,"Look here, eye movements play a functional role in memory retrieval.","R Johansson, M Johansson",2014,Jan,Psychological Science,25,1,236-42,10.1177/0956797613498260
21-1-2014,The eye pupil adjusts to imaginary light.,"B Laeng, U Sulutvedt",2014,Jan,Psychological Science,25,1,188-97,10.1177/0956797613503556
2-1-2014,The new statistics: why and how.,G Cumming,2014,Jan,Psychological Science,25,1,7 - 29,10.1177/0956797613504966
12-1-2014,Nonconscious learning from crowded sequences.,"A Atas, N Faivre, B Timmermans, A Cleeremans, S Kouider",2014,Jan,Psychological Science,25,1,113-9,10.1177/0956797613499591
13-1-2014,Symmetry in cold-to-hot and hot-to-cold valuation gaps.,"G Fisher, A Rangel",2014,Jan,Psychological Science,25,1,120-7,10.1177/0956797613502362
34-1-2014,The ultra-rare-item effect: visual search for exceedingly rare items is highly susceptible to error.,"SR Mitroff, AT Biggs",2014,Jan,Psychological Science,25,1,284-9,10.1177/0956797613504221
35-1-2014,Trust in me: trustworthy others are seen as more physically similar to the self.,"H Farmer, R McKay, M Tsakiris",2014,Jan,Psychological Science,25,1,290-2,10.1177/0956797613494852
38-1-2014,A reassessment of the defense of parenthood.,"S Bhargava, KS Kassam, G Loewenstein",2014,Jan,Psychological Science,25,1,299-302,10.1177/0956797613503348
9-1-2014,Attitudes toward Arab ascendance: Israeli and global perspectives.,"F Pratto, T Saguy, AL Stewart, D Morselli, R Foels, A Aiello, M Aranda, A Cidam, X Chryssochoou, K Durrheim, V Eicher, L Licata, JH Liu, L Liu, I Meyer, O Muldoon, S Papastamou, N Petrovic, F Prati, G Prodomitis, J Sweetman",2014,Jan,Psychological Science,25,1,85-94,10.1177/0956797613497021
3-1-2014,Embodied terror management: interpersonal touch alleviates existential concerns among individuals with low self-esteem.,"SL Koole, M Tjew A Sin, IK Schneider",2014,Jan,Psychological Science,25,1,30-7,10.1177/0956797613483478
26-1-2014,Hierarchical encoding makes individuals in a group seem more attractive.,"D Walker, E Vul",2014,Jan,Psychological Science,25,1,230-5,10.1177/0956797613497969
5-7-2014,Neural predictors of giving in to temptation in daily life.,"RB Lopez, W Hofmann, DD Wagner, WM Kelley, TF Heatherton",2014,Jul,Psychological Science,25,7,1337-44,10.1177/0956797614531492
16-7-2014,Gender and sexual economics: do women view sex as a female commodity?,"LA Rudman, JC Fetterolf",2014,Jul,Psychological Science,25,7,1438-47,10.1177/0956797614533123
19-7-2014,Interference of the end: why recency bias in memory determines when a food is consumed again.,"EN Garbinsky, CK Morewedge, B Shiv",2014,Jul,Psychological Science,25,7,1466-74,10.1177/0956797614534268
7-7-2014,Mothers' depressive symptoms predict both increased and reduced negative reactivity: aversion sensitivity and the regulation of emotion.,"T Dix, A Moed, ER Anderson",2014,Jul,Psychological Science,25,7,1353-61,10.1177/0956797614531025
18-7-2014,Sleep underpins the plasticity of language production.,"MG Gaskell, J Warker, S Lindsay, R Frost, J Guest, R Snowdon, A Stackhouse",2014,Jul,Psychological Science,25,7,1457-65,10.1177/0956797614535937
6-7-2014,Spatial orientation shrinks and expands psychological distance.,"SJ Maglio, E Polman",2014,Jul,Psychological Science,25,7,1345-52,10.1177/0956797614530571
17-7-2014,Who's Talking Now? Infants' Perception of Vowels With Infant Vocal Properties.,"L Polka, M Masapollo, L Ménard",2014,Jul,Psychological Science,25,7,1448-56,10.1177/0956797614533571
14-7-2014,The Second Shift Reflected in the Second Generation: Do Parents' Gender Roles at Home Predict Children's Aspirations?,"A Croft, T Schmader, K Block, AS Baron",2014,Jul,Psychological Science,25,7,1418-28,10.1177/0956797614533968
2-7-2014,Serotonin and social norms: tryptophan depletion impairs social comparison and leads to resource depletion in a multiplayer harvesting game.,"AC Bilderbeck, GD Brown, J Read, M Woolrich, PJ Cowen, TE Behrens, RD Rogers",2014,Jul,Psychological Science,25,7,1303-13,10.1177/0956797614527830
9-7-2014,Individual differences in infant fixation duration relate to attention and behavioral control in childhood.,"KA Papageorgiou, TJ Smith, R Wu, MH Johnson, NZ Kirkham, A Ronald",2014,Jul,Psychological Science,25,7,1371–1379,10.1177/0956797614531295
23-7-2014,"Partner choice, relationship satisfaction, and oral contraception: the congruency hypothesis.","SC Roberts, AC Little, RP Burriss, KD Cobey, K Klapilovíç, J Havlí_Ûek, BC Jones, L DeBruine, M Petrie",2014,Jul,Psychological Science,25,7,1497-503,10.1177/0956797614532295
15-7-2014,Entering adulthood in a recession tempers later narcissism.,EC Bianchi,2014,Jul,Psychological Science,25,7,1429-37,10.1177/0956797614532818
4-7-2014,Brief periods of auditory perceptual training can determine the sensory targets of speech motor learning.,"DR Lametti, SA Krol, DM Shiller, DJ Ostry",2014,Jul,Psychological Science,25,7,1325-36,10.1177/0956797614529978
1-7-2014,"Forgiving you is hard, but forgetting seems easy: can forgiveness facilitate forgetting?","S Noreen, RN Bierman, MD MacLeod",2014,Jul,Psychological Science,25,7,1295-302,10.1177/0956797614531602
13-7-2014,Misleading first impressions: different for different facial images of the same person.,"A Todorov, JM Porter",2014,Jul,Psychological Science,25,7,1404-17,10.1177/0956797614532474
3-7-2014,A social feedback loop for speech development and its reduction in autism.,"AS Warlaumont, JA Richards, J Gilkerson, DK Oller",2014,Jul,Psychological Science,25,7,1314-24,10.1177/0956797614531023
20-7-2014,Newly hatched chicks solve the visual binding problem.,JN Wood,2014,Jul,Psychological Science,25,7,1475-81,10.1177/0956797614528955
8-7-2014,"Visual environment, attention allocation, and learning in young children: when too much of a good thing may be bad.","AV Fisher, KE Godwin, H Seltman",2014,Jul,Psychological Science,25,7,1362-70,10.1177/0956797614533801
22-7-2014,Pre-crastination: hastening subgoal completion at the expense of extra physical effort.,"DA Rosenbaum, L Gong, CA Potts",2014,Jul,Psychological Science,25,7,1487-96,10.1177/0956797614532657
