Article ID,Title,DOI,Authors,Year,Month,Volume,Issue,Pages
2019-30-8-1253,Erratum: Mutualistic Coupling Between Vocabulary and Reasoning in Young Children: A Replication and Extension of the Study by Kievit et al. (2017),https://doi.org/10.1177/0956797619860523,,,,,,
2019-30-8-1254,"Corrigendum: Screens, Teens, and Psychological Well-Being: Evidence From Three Time-Use-Diary Studies",https://doi.org/10.1177/0956797619862548,,,,,,
2019-30-8-1255,Corrigendum: Unconscious Detection of One’s Own Image,https://doi.org/10.1177/0956797619858007,,,,,,
2019-30-9-1259,Selection of Visual Objects in Perception and Working Memory One at a Time,https://doi.org/10.1177/0956797619854067,,,,,,
2019-30-9-1273,Paying Back People Who Harmed Us but Not People Who Helped Us: Direct Negative Reciprocity Precedes Direct Positive Reciprocity in Early Development,https://doi.org/10.1177/0956797619854975,,,,,,
2019-30-9-1287,Relational Scaffolding Enhances Children’s Understanding of Scientific Models,https://doi.org/10.1177/0956797619864601,,,,,,
2019-30-9-1303,"Forgetting Is a Feature, Not a Bug: Intentionally Forgetting Some Things Helps Us Remember Others by Freeing Up Working Memory Resources",https://doi.org/10.1177/0956797619859531,,,,,,
2019-30-9-1318,Suboptimal Engagement of High-Level Cortical Regions Predicts Random-Noise-Related Gains in Sustained Attention,https://doi.org/10.1177/0956797619856658,,,,,,
2019-30-9-1333,The Effect of Older Siblings on Language Development as a Function of Age Difference and Sex,https://doi.org/10.1177/0956797619861436,,,,,,
2019-30-9-1344,How Much Knowledge Is Too Little? When a Lack of Knowledge Becomes a Barrier to Comprehension,https://doi.org/10.1177/0956797619862276,,,,,,
2019-30-9-1352,Separate Contribution of Striatum Volume and Pitch Discrimination to Individual Differences in Music Reward,https://doi.org/10.1177/0956797619859339,,,,,,
2019-30-9-1362,Hypnotic Suggestions Can Induce Rapid Change in Implicit Attitudes,https://doi.org/10.1177/0956797619865183,,,,,,
2019-30-9-1371,Debiasing Training Improves Decision Making in the Field,https://doi.org/10.1177/0956797619861429,,,,,,
2019-30-9-1380,"Comparing the Effects of Hypothetical Moral Preferences on Real-Life and Hypothetical Behavior: Commentary on Bostyn, Sevenhant, and Roets (2018)",https://doi.org/10.1177/0956797618815482,,,,,,
2019-30-9-1383,"What Is the Right Question for Moral Psychology to Answer? Commentary on Bostyn, Sevenhant, and Roets (2018)",https://doi.org/10.1177/0956797618815171,,,,,,
2019-30-9-1386,"Comparing Hypothetical and Real-Life Trolley Problems: Commentary on Bostyn, Sevenhant, and Roets (2018)",https://doi.org/10.1177/0956797619827880,,,,,,
2019-30-9-1389,"Overlooked Evidence and a Misunderstanding of What Trolley Dilemmas Do Best: Commentary on Bostyn, Sevenhant, and Roets (2018)",https://doi.org/10.1177/0956797619827914,,,,,,
2019-30-9-1392,"Should Trolleys Be Scared of Mice? Replies to Evans and Brandt (2019); Bia_ek, Turpin, and Fugelsang (2019); Colman, Gold, and Pulford (2019); and Plunkett and Greene (2019)",https://doi.org/10.1177/0956797619865236,,,,,,
2019-30-9-1397,"Evidence Against Depiction as Fiction: A Comment on “Fictional First Memories” (Akhtar, Justice, Morrison, & Conway, 2018)",https://doi.org/10.1177/0956797619834510,,,,,,
2019-30-9-1400,"What Are Autobiographical Memories? A Reply to Bauer, Baker-Ward, Krøjgaard, Peterson, and Wang (2019)",https://doi.org/10.1177/0956797619868994,,,,,,
2019-30-9-1403,Deferred Feedback Does Not Dissociate Implicit and Explicit Category-Learning Systems: Commentary on Smith et al. (2014),https://doi.org/10.1177/0956797619841264,,,,,,
2019-30-9-1410,"Corrigendum: Comparing the Effects of Hypothetical Moral Preferences on Real-Life and Hypothetical Behavior: Commentary on Bostyn, Sevenhant, and Roets (2018)",https://doi.org/10.1177/0956797619872961,,,,,,
2019-30-10-1413,Neurobiological Functioning and the Personality-Trait Hierarchy: Central Serotonergic Responsivity and the Stability Metatrait,https://doi.org/10.1177/0956797619864530,,,,,,
2019-30-10-1424,Hide or Seek? Physiological Responses Reflect Both the Decision and the Attempt to Conceal Information,https://doi.org/10.1177/0956797619864598,,,,,,
2019-30-10-1434,Action Fluency Facilitates Perceptual Discrimination,https://doi.org/10.1177/0956797619859361,,,,,,
2019-30-10-1449,False Memories for Fake News During Ireland’s Abortion Referendum,https://doi.org/10.1177/0956797619864887,,,,,,
2019-30-10-1460,The Implications of Sociosexuality for Marital Satisfaction and Dissolution,https://doi.org/10.1177/0956797619868997,,,,,,
2019-30-10-1473,A Protracted Sensitive Period Regulates the Development of Cross-Modal Sound–Shape Associations in Humans,https://doi.org/10.1177/0956797619866625,,,,,,
2019-30-10-1483,Visual Search for People Among People,https://doi.org/10.1177/0956797619867295,,,,,,
2019-30-10-1497,Scenes Modulate Object Processing Before Interacting With Memory Templates,https://doi.org/10.1177/0956797619869905,,,,,,
2019-30-10-1510,Predicting Exercise With a Personality Facet: Planfulness and Goal Achievement,https://doi.org/10.1177/0956797619868812,,,,,,
2019-30-10-1522,Remapping Peripersonal Space by Using Foot-Sole Vibrations Without Any Body Movement,https://doi.org/10.1177/0956797619869337,,,,,,
2019-30-10-1533,Crowding and Binding: Not All Feature Dimensions Behave in the Same Way,https://doi.org/10.1177/0956797619870779,,,,,,
2019-30-10-1547,Visual Search May Not Require Target Representation in Working Memory or Long-Term Memory,https://doi.org/10.1177/0956797619872749,,,,,,
2019-30-11-1561,Searching for Rewards Like a Child Means Less Generalization and More Directed Exploration,https://doi.org/10.1177/0956797619863663,,,,,,
2019-30-11-1573,Poverty and Puberty: A Neurocognitive Study of Inhibitory Control in the Transition to Adolescence,https://doi.org/10.1177/0956797619863780,,,,,,
2019-30-11-1584,Rushing to Appear Virtuous: Time Pressure Increases Socially Desirable Responding,https://doi.org/10.1177/0956797619867939,,,,,,
2019-30-11-1592,Automated Study Challenges the Existence of a Foundational Statistical-Learning Ability in Newborn Chicks,https://doi.org/10.1177/0956797619868998,,,,,,
2019-30-11-1603,Increasing Vegetable Intake by Emphasizing Tasty and Enjoyable Attributes: A Randomized Controlled Multisite Intervention for Taste-Focused Labeling,https://doi.org/10.1177/0956797619872191,,,,,,
2019-30-11-1616,Targeted Memory Reactivation During Sleep Improves Next-Day Problem Solving,https://doi.org/10.1177/0956797619873344,,,,,,
2019-30-11-1625,“Our Country Needs a Strong Leader Right Now”: Economic Inequality Enhances the Wish for a Strong Leader,https://doi.org/10.1177/0956797619875472,,,,,,
2019-30-11-1638,Sound-Symbolism Effects in the Absence of Awareness: A Replication Study,https://doi.org/10.1177/0956797619875482,,,,,,
2019-30-11-1648,How to Create Objects With Your Mind: From Object-Based Attention to Attention-Based Objects,https://doi.org/10.1177/0956797619863072,,,,,,
2019-30-11-1656,Visually Entrained Theta Oscillations Increase for Unexpected Events in the Infant Brain,https://doi.org/10.1177/0956797619876260,,,,,,
2019-30-12-1669,Swan Song Editorial,https://doi.org/10.1177/0956797619893653,,,,,,
2019-30-12-1674,The Sign Effect in Past and Future Discounting,https://doi.org/10.1177/0956797619876982,,,,,,
2019-30-12-1696,Development of Holistic Episodic Recollection,https://doi.org/10.1177/0956797619879441,,,,,,
2019-30-12-1707,Reading Increases the Compositionality of Visual Word Representations,https://doi.org/10.1177/0956797619881134,,,,,,
2019-30-12-1724,Enhancement and Suppression Flexibly Guide Attention,https://doi.org/10.1177/0956797619878813,,,,,,
2019-30-12-1733,Not Learning From Failure—the Greatest Failure of All,https://doi.org/10.1177/0956797619881133,,,,,,
2019-30-12-1745,"The Ethical Perils of Personal, Communal Relations: A Language Perspective",https://doi.org/10.1177/0956797619882917,,,,,,
2019-30-12-1767,How to Change the Weight of Rare Events in Decisions From Experience,https://doi.org/10.1177/0956797619884324,,,,,,
2019-30-12-1780,Lipid Profiles at Birth Predict Teacher-Rated Child Emotional and Social Development 5 Years Later,https://doi.org/10.1177/0956797619885649,,,,,,
2019-30-12-1790,Corrigendum: Action-Video-Game Experience Alters the Spatial Resolution of Vision,https://doi.org/10.1177/0956797619889044,,,,,,
2019-30-12-1791,Corrigendum: “Our Country Needs a Strong Leader Right Now”: Economic Inequality Enhances the Wish for a Strong Leader,https://doi.org/10.1177/0956797619890360,,,,,,
2019-30-12-1792,Corrigendum: Healthy Out-Group Members Are Represented Psychologically as Infected In-Group Members,https://doi.org/10.1177/0956797619887750,,,,,,
2020-31-1-3,Expanding the Reach of Psychological Science,https://doi.org/10.1177/0956797619898664,,,,,,
2020-31-1-6,Infant and Adult Brains Are Coupled to the Dynamics of Natural Communication,https://doi.org/10.1177/0956797619878698,,,,,,
2020-31-1-18,The Value of Interracial Contact for Reducing Anti-Black Bias Among Non-Black Physicians: A Cognitive Habits and Growth Evaluation (CHANGE) Study Report,https://doi.org/10.1177/0956797619879139,,,,,,
2020-31-1-31,Distracting Objects Induce Early Quitting in Visual Search,https://doi.org/10.1177/0956797619886809,,,,,,
2020-31-1-43,Use of Letter Names Benefits Young Children’s Spelling,https://doi.org/10.1177/0956797619888837,,,,,,
2020-31-1-51,Cultural Variability in the Association Between Age and Well-Being: The Role of Uncertainty Avoidance,https://doi.org/10.1177/0956797619887348,,,,,,
2020-31-1-65,Forecasting a Fatal Decision: Direct Replication of the Predictive Validity of the Suicide–Implicit Association Test,https://doi.org/10.1177/0956797619893062,,,,,,
2020-31-1-75,Misinformation and Morality: Encountering Fake-News Headlines Makes Them Seem Less Unethical to Publish and Share,https://doi.org/10.1177/0956797619887896,,,,,,
2020-31-1-88,On Why Objects Appear Smaller in the Visual Periphery,https://doi.org/10.1177/0956797619892624,,,,,,
2020-31-1-97,"Good Things Come to Those Who Wait: Delaying Gratification Likely Does Matter for Later Achievement (A Commentary on Watts, Duncan, & Quan, 2018)",https://doi.org/10.1177/0956797619839045,,,,,,
2020-31-1-100,"Re-Revisiting the Marshmallow Test: A Direct Comparison of Studies by Shoda, Mischel, and Peake (1990) and Watts, Duncan, and Quan (2018)",https://doi.org/10.1177/0956797619861720,,,,,,
2020-31-1-105,"Controlling, Confounding, and Construct Clarity: Responding to Criticisms of “Revisiting the Marshmallow Test” by Doebel, Michaelson, and Munakata (2020) and Falk, Kosse, and Pinger (2020)",https://doi.org/10.1177/0956797619893606,,,,,,
2020-31-1-109,Erratum: Hypnotic Suggestions Can Induce Rapid Change in Implicit Attitudes,https://doi.org/10.1177/0956797619894971,,,,,,
2020-31-1-110,"Corrigendum: The Gender-Equality Paradox in Science, Technology, Engineering, and Mathematics Education",https://doi.org/10.1177/0956797619892892,,,,,,
2020-31-1-112,Corrigendum: The Value of Interracial Contact for Reducing Anti-Black Bias Among Non-Black Physicians: A Cognitive Habits and Growth Evaluation (CHANGE) Study Report,https://doi.org/10.1177/0956797619896776,,,,,,
2020-31-2-115,Implicit Gender Bias in Linguistic Descriptions for Expected Events: The Cases of the 2016 United States and 2017 United Kingdom Elections,https://doi.org/10.1177/0956797619890619,,,,,,
2020-31-2-129,Design Drives Discovery in Causal Learning,https://doi.org/10.1177/0956797619898134,,,,,,
2020-31-2-139,Children Delay Gratification for Cooperative Ends,https://doi.org/10.1177/0956797619894205,,,,,,
2020-31-2-149,Young Children Use Probability to Infer Happiness and the Quality of Outcomes,https://doi.org/10.1177/0956797619895282,,,,,,
2020-31-2-160,Body Maps of Moral Concerns,https://doi.org/10.1177/0956797619895284,,,,,,
2020-31-2-170,RETRACTED: Declines in Religiosity Predict Increases in Violent Crime—but Not Among Countries With Relatively High Average IQ,https://doi.org/10.1177/0956797619897915,,,,,,
2020-31-2-184,Sex Differences in Misperceptions of Sexual Interest Can Be Explained by Sociosexual Orientation and Men Projecting Their Own Interest Onto Women,https://doi.org/10.1177/0956797619900315,,,,,,
2020-31-2-193,"Same Data Set, Different Conclusions: Preschool Delay of Gratification Predicts Later Behavioral Outcomes in a Preregistered Study",https://doi.org/10.1177/0956797619896270,,,,,,
2020-31-2-202,Language-Style Similarity and Social Networks,https://doi.org/10.1177/0956797619894557,,,,,,
2020-31-2-214,Two Preregistered Direct Replications of “Objects Don’t Object: Evidence That Self-Objectification Disrupts Women’s Social Activism”,https://doi.org/10.1177/0956797619896273,,,,,,
2020-31-3-227,What We Owe to Family: The Impact of Special Obligations on Moral Judgment,https://doi.org/10.1177/0956797619900321,,,,,,
2020-31-3-243,Do People Want to Be More Moral?,https://doi.org/10.1177/0956797619893078,,,,,,
2020-31-3-258,How Firm Are the Foundations of Mind-Set Theory? The Claims Appear Stronger Than the Evidence,https://doi.org/10.1177/0956797619897588,,,,,,
2020-31-3-268,Predicting Real-Life Self-Control From Brain Activity Encoding the Value of Anticipated Future Outcomes,https://doi.org/10.1177/0956797619896357,,,,,,
2020-31-3-280,Conflict Changes How People View God,https://doi.org/10.1177/0956797619895286,,,,,,
2020-31-3-293,Subjective Well-Being Around the World: Trends and Predictors Across the Life Span,https://doi.org/10.1177/0956797619898826,,,,,,
2020-31-3-306,"Turtle, Task Ninja, or Time Waster? Who Cares? Traditional Task-Completion Strategies Are Overrated",https://doi.org/10.1177/0956797619901267,,,,,,
2020-31-3-316,A Specificity Principle of Memory: Evidence From Aging and Associative Memory,https://doi.org/10.1177/0956797620901760,,,,,,
2020-31-3-332,"Replicating Roaches: A Preregistered Direct Replication of Zajonc, Heingartner, and Herman’s (1969) Social-Facilitation Study",https://doi.org/10.1177/0956797620902101,,,,,,
2020-31-3-338,"Is There a Gender-Equality Paradox in Science, Technology, Engineering, and Math (STEM)? Commentary on the Study by Stoet and Geary (2018)",https://doi.org/10.1177/0956797619872762,,,,,,
2020-31-3-342,The Gender-Equality Paradox Is Part of a Bigger Phenomenon: Reply to Richardson and Colleagues (2020),https://doi.org/10.1177/0956797620904134,,,,,,
2020-31-3-345,"Correlated Individual Differences in the Estimated Precision of Working Memory and Long-Term Memory: Commentary on the Study by Biderman, Luria, Teodorescu, Hajaj, and Goshen-Gottstein (2019)",https://doi.org/10.1177/0956797620903718,,,,,,
2020-31-4-351,Ongoing Cognitive Processing Influences Precise Eye-Movement Targets in Reading,https://doi.org/10.1177/0956797620901766,,,,,,
2020-31-4-363,Artificial Intelligence and Persuasion: A Construal-Level Account,https://doi.org/10.1177/0956797620904985,,,,,,
2020-31-4-381,The Effects of Three-Dimensional Context on Shape Perception,https://doi.org/10.1177/0956797620901749,,,,,,
2020-31-4-397,Thinking of You: How Second-Person Pronouns Shape Cultural Success,https://doi.org/10.1177/0956797620902380,,,,,,
2020-31-4-408,Sex Differences in Mate Preferences Across 45 Countries: A Large-Scale Replication,https://doi.org/10.1177/0956797620904154,,,,,,
2020-31-4-424,Probing Ovulatory-Cycle Shifts in Women’s Preferences for Men’s Behaviors,https://doi.org/10.1177/0956797619882022,,,,,,
2020-31-4-437,Achieving More With Less: Intuitive Correction in Selection,https://doi.org/10.1177/0956797620903717 ,,,,,,
2020-31-4-449,The Scent of a Good Night’s Sleep: Olfactory Cues of a Romantic Partner Improve Sleep Efficiency,https://doi.org/10.1177/0956797620905615,,,,,,
2020-31-4-460,"Does Honesty Require Time? Two Preregistered Direct Replications of Experiment 2 of Shalvi, Eldar, and Bereby-Meyer (2012)",https://doi.org/10.1177/0956797620903716,,,,,,
2020-31-4-468,Disentangling the Roles of Cue Visibility and Knowledge in Adjusting Cognitive Control: A Preregistered Direct Replication of the Farooqui and Manly (2015) Study,https://doi.org/10.1177/0956797620904045,,,,,,
2020-31-5-483,"Practicing Good Laboratory Hygiene, Even in a Pandemic",https://doi.org/10.1177/0956797620920547,,,,,,
2020-31-5-488,Action Effects on Visual Perception of Distances: A Multilevel Bayesian Meta-Analysis,https://doi.org/10.1177/0956797619900336,,,,,,
2020-31-5-505,"Making It Harder to “See” Meaning: The More You See Something, the More Its Conceptual Representation Is Susceptible to Visual Interference",https://doi.org/10.1177/0956797620910748,,,,,,
2020-31-5-518,Can Bad Be Good? The Attraction of a Darker Self,https://doi.org/10.1177/0956797620909742,,,,,,
2020-31-5-531,Strong Effort Manipulations Reduce Response Caution: A Preregistered Reinvention of the Ego-Depletion Paradigm,https://doi.org/10.1177/0956797620904990,,,,,,
2020-31-5-548,"Bilingualism Affords No General Cognitive Advantages: A Population Study of Executive Function in 11,000 People",https://doi.org/10.1177/0956797620903113,,,,,,
2020-31-5-568,Aggressive Realism: More Efficient Processing of Anger in Physically Aggressive Individuals,https://doi.org/10.1177/0956797620904157,,,,,,
2020-31-5-582,Comparison of Adopted and Nonadopted Individuals Reveals Gene–Environment Interplay for Education in the UK Biobank,https://doi.org/10.1177/0956797620904450,,,,,,
2020-31-5-592,Anxiety Impedes Adaptive Social Learning Under Uncertainty,https://doi.org/10.1177/0956797620910993,,,,,,
2020-31-6-607,The Distinct Effects of Empathic Accuracy for a Romantic Partner’s Appeasement and Dominance Emotions,https://doi.org/10.1177/0956797620904975,,,,,,
2020-31-6-623,"Reframing Achievement Setbacks: A Motivation Intervention to Improve 8-Year Graduation Rates for Students in Science, Technology, Engineering, and Mathematics (STEM) Fields",https://doi.org/10.1177/0956797620904451,,,,,,
2020-31-6-634,Transaction Frame Determines Preferences: Valuation of Labor by Employee and Contractor,https://doi.org/10.1177/0956797620916521,,,,,,
2020-31-6-644,In Generous Offers I Trust: The Effect of First-Offer Value on Economically Vulnerable Behaviors,https://doi.org/10.1177/0956797620916705,,,,,,
2020-31-6-654,Higher-Level Meta-Adaptation Mitigates Visual Distortions Produced by Lower-Level Adaptation,https://doi.org/10.1177/0956797620907090,,,,,,
2020-31-6-663,B or 13? Unconscious Top-Down Contextual Effects at the Categorical but Not the Lexical Level,https://doi.org/10.1177/0956797620915887,,,,,,
2020-31-6-678,"Beyond Western, Educated, Industrial, Rich, and Democratic (WEIRD) Psychology: Measuring and Mapping Scales of Cultural and Psychological Distance",https://doi.org/10.1177/0956797620916782,,,,,,
2020-31-6-702,"Truth, Lies, and Gossip",https://doi.org/10.1177/0956797620916708,,,,,,
2020-31-6-715,Blind at First Sight: The Role of Distinctively Accurate and Positive First Impressions in Romantic Interest,https://doi.org/10.1177/0956797620919674,,,,,,
2020-31-6-729,Neural Representations of Procedural Knowledge,https://doi.org/10.1177/0956797620916806,,,,,,
2020-31-6-741,"On the Limited Generality of Air Pollution and Anxiety as Causal Determinants of Unethical Behavior: Commentary on Lu, Lee, Gino, and Galinsky (2018)",https://doi.org/10.1177/0956797619866627,,,,,,
2020-31-6-748,"Air Pollution, State Anxiety, and Unethical Behavior: A Meta-Analytic Review",https://doi.org/10.1177/0956797620924765,,,,,,
2020-31-6-756,Female Chess Players Show Typical Stereotype-Threat Effects: Commentary on Stafford (2018),https://doi.org/10.1177/0956797620924051,,,,,,
2020-31-6-760,Erratum: False Memories for Fake News During Ireland’s Abortion Referendum,https://doi.org/10.1177/0956797620923299,,,,,,
2020-31-6-762,Corrigendum: Debiasing Training Improves Decision Making in the Field,https://doi.org/10.1177/0956797620930211,,,,,,
2020-31-7-767,A Call for Greater Sensitivity in the Wake of a Publication Controversy,https://doi.org/10.1177/0956797620941482,,,,,,
2020-31-7-770,Fighting COVID-19 Misinformation on Social Media: Experimental Evidence for a Scalable Accuracy-Nudge Intervention,https://doi.org/10.1177/0956797620939054,,,,,,
2020-31-7-781,The Earliest Origins of Genetic Nurture: The Prenatal Environment Mediates the Association Between Maternal Genetics and Child Development,https://doi.org/10.1177/0956797620917209,,,,,,
2020-31-7-792,What Is the Test-Retest Reliability of Common Task-Functional MRI Measures? New Empirical Evidence and a Meta-Analysis,https://doi.org/10.1177/0956797620916786,,,,,,
2020-31-7-807,Does Happiness Improve Health? Evidence From a Randomized Controlled Trial,https://doi.org/10.1177/0956797620919673,,,,,,
2020-31-7-822,Effortful Control Moderates the Relation Between Electronic-Media Use and Objective Sleep Indicators in Childhood,https://doi.org/10.1177/0956797620919432,,,,,,
2020-31-7-835,The Contribution of Cognitive and Noncognitive Skills to Intergenerational Social Mobility,https://doi.org/10.1177/0956797620924677,,,,,,
2020-31-7-848,The Psychological Appeal of Fake-News Attributions,https://doi.org/10.1177/0956797620922785,,,,,,
2020-31-7-858,"Do Religious Primes Increase Risk Taking? Evidence Against “Anticipating Divine Protection” in Two Preregistered Direct Replications of Kupor, Laurin, and Levav (2015)",https://doi.org/10.1177/0956797620922477,,,,,,
2020-31-7-865,Can Short Psychological Interventions Affect Educational Performance? Revisiting the Effect of Self-Affirmation Interventions,https://doi.org/10.1177/0956797620923587,,,,,,
2020-31-7-873,Learning Novel Skills From Iconic Gestures: A Developmental and Evolutionary Perspective,https://doi.org/10.1177/0956797620921519,,,,,,
2020-31-7-881,Neighborhood Deprivation Shapes Motivational-Neurocircuit Recruitment in Children,https://doi.org/10.1177/0956797620929299,,,,,,
2020-31-7-890,"Weak and Variable Effects of Exogenous Testosterone on Cognitive Reflection Test Performance in Three Experiments: Commentary on Nave, Nadler, Zava, and Camerer (2017)",https://doi.org/10.1177/0956797619885607,,,,,,
2020-31-7-898,"Reflecting on the Evidence: A Reply to Knight, McShane, et al. (2020)",https://doi.org/10.1177/0956797620930966,,,,,,
2020-31-7-901,"Erratum: If It’s Difficult to Pronounce, It Might Not Be Risky: The Effect of Fluency on Judgment of Risk Does Not Generalize to New Stimuli",https://doi.org/10.1177/0956797620933249,,,,,,
2020-31-7-902,Corrigendum: Selectively Distracted: Divided Attention and Memory for Important Information,https://doi.org/10.1177/0956797620937679,,,,,,
2020-31-7-905,Retraction of “Declines in Religiosity Predict Increases in Violent Crime—but Not Among Countries With Relatively High Average IQ”,https://doi.org/10.1177/0956797620941437,,,,,,
2020-31-8-911,The Development of Intersectional Social Prototypes,https://doi.org/10.1177/0956797620920360,,,,,,
2020-31-8-927,Confidence in Context: Perceived Accuracy of Quantitative Estimates Decreases With Repeated Trials,https://doi.org/10.1177/0956797620921517,,,,,,
2020-31-8-944,Young Adults Make Rational Sexual Decisions,https://doi.org/10.1177/0956797620925036,,,,,,
2020-31-8-957,“This Is What a Mechanic Sounds Like”: Children’s Vocal Control Reveals Implicit Occupational Stereotypes,https://doi.org/10.1177/0956797620929297,,,,,,
2020-31-8-968,Exploring the Impact of Mindfulness on False-Memory Susceptibility,https://doi.org/10.1177/0956797620929302,,,,,,
2020-31-8-978,Affective Arousal Links Sound to Meaning,https://doi.org/10.1177/0956797620927967,,,,,,
2020-31-8-987,Concerns About Automation and Negative Sentiment Toward Immigration,https://doi.org/10.1177/0956797620929977,,,,,,
2020-31-8-1001,Face Pareidolia Recruits Mechanisms for Detecting Human Social Attention,https://doi.org/10.1177/0956797620924814,,,,,,
2020-31-8-1013,On Intersectionality: How Complex Patterns of Discrimination Can Emerge From Simple Stereotypes,https://doi.org/10.1177/0956797620929979,,,,,,
2020-31-8-1025,The Latent Genetic Structure of Impulsivity and Its Relation to Internalizing Psychopathology,https://doi.org/10.1177/0956797620938160,,,,,,
2020-31-8-1036,"Reanalysis Suggests Evidence for Motor Simulation in Naming Tools Is Limited: A Commentary on Witt, Kemmerer, Linkenauger, and Culham (2010)",https://doi.org/10.1177/0956797620940555,,,,,,
2020-31-8-1040,Polluted Psyche: Is the Effect of Air Pollution on Unethical Behavior More Physiological or Psychological?,https://doi.org/10.1177/0956797620943835,,,,,,
2020-31-8-1048,Corrigendum: Targeted Memory Reactivation During Sleep Improves Next-Day Problem Solving,https://doi.org/10.1177/0956797620943156,,,,,,
2020-31-8-1049,Corrigendum: In Generous Offers I Trust: The Effect of First-Offer Value on Economically Vulnerable Behaviors,https://doi.org/10.1177/0956797620944137,,,,,,
2020-31-8-1050,"Corrigendum: Truth, Lies, and Gossip",https://doi.org/10.1177/0956797620944135,,,,,,
