article_id_number,no_of_experiments,subfield,type_of_article,type_of_article_other,participants,participants_other,age,brain_beh,topic,topic_other,data_badge,data_statement_present,data_statement_indicates,data_quote,data_page_no,data_accessible,data_accessible_other,dataset_URL,type_of_data_repo,type_of_data_repo_other,which_data_repo,which_data_repo_other,dataset_URL_working,data_locatable,data_downloadable,data_correspond,data_complete,software,type_of_software,type_of_software_other,data_codebook,data_scripts,data_other_info,materials_badge,materials_statement_present,materials_statement_indicates,materials_quote,materials_page_no,materials_accessible,materials_accessible_other,materials_URL,type_of_materials_repo,type_of_materials_repo_other,which_materials_repo,which_materials_repo_other,materials_URL_working,materials_locatable,materials_downloadable,materials_correspond,materials_complete,materials_explanation,materials_other_info,supplemental_info,URL_supplemental_info,open_data_score,open_materials_score
2020-31-8-957,1,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797620929297,0,0
2020-31-4-381,4,Perception,NA,NA,Humans,NA,All other ages,Behaviour,Sensation,NA,Yes,Yes,Available,All data and materials have been made publicly available via the Open Science Framework,394,Public dataset generated by the authors,NA,https://osf.io/72q3w/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",Yes,SPSS,NA,No,No,No,Yes,Yes,Available,All data and materials have been made publicly available via the Open Science Framework,394,Public set of materials generated by authors,NA,https://osf.io/5m6dj/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",No,No,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797620901749,15,14
2020-31-10-1261,1,Perception,NA,NA,Humans,NA,All other ages,Behaviour,Sensation,NA,Yes,Yes,Available,"The raw data, analysis code, and code used to run the experiment have been made publicly available via the Open Science Framework",1269,Public dataset generated by the authors,NA,https://osf.io/mys79/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",Yes,Matlab,NA,Yes,Yes,"Statistics summary tables (t-tests, ANOVAs, Bayesian, descriptive etc.)",Yes,Yes,Available,"The raw data, analysis code, and code used to run the experiment have been made publicly available via the Open Science Framework",1269,Public set of materials generated by authors,NA,https://osf.io/mys79/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,Unclear whether or not all the materials are available,No,No,"Yes, and it is freely accessible",https://journals-sagepub-com.wwwproxy1.library.unsw.edu.au/doi/suppl/10.1177/0956797620943834,25,12
2020-31-6-715,1,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,Yes,Yes,Available,"Deidentified data and codebooks for both samples, along with the data-analysis scripts, are posted on the Open Science Framework (OSF)",717,Public dataset generated by the authors,NA,https://osf.io/pm7v9/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",Yes,R,NA,Yes,Yes,Archival sample data and analyses that weren't included in the study,Yes,Yes,Available,"All data, materials, and analysis scripts have been made publicly available via the Open Science Framework",727,Public set of materials generated by authors,NA,https://osf.io/pm7v9,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",Yes,NA,"Yes, and it is freely accessible",https://journals-sagepub-com.wwwproxy1.library.unsw.edu.au/doi/suppl/10.1177/0956797620919674,25,19
2019-30-7-979,2,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,Yes,Yes,Available,All data have been made publicly available via the OSF and can be accessed at http://osf.io/pzvue.,988,Public dataset generated by the authors,NA,https://osf.io/pzvue/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Unclear,"Yes, but only some of the data are available",No,NA,NA,No,No,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797619848351,11,0
2020-31-1-51,2,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,Yes,Yes,Available,All data and materials for Study 2 have been made publicly available via the Open Science Framework and can be accessed at https://osf.io/sd265/. All data and materials for Study 1 are publicly available at the World Values Survey site (http://www.worldvaluessurvey.org/).,62,Public dataset generated by the authors,NA,https://osf.io/sd265/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",No,NA,NA,Yes,Yes,No,Yes,Yes,Available,All data and materials for Study 2 have been made publicly available via the Open Science Framework and can be accessed at https://osf.io/sd265/. All data and materials for Study 1 are publicly available at the World Values Survey site (http://www.worldvaluessurvey.org/).,62,Public set of materials generated by authors,NA,https://osf.io/sd265/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",No,No,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797619887348,24,14
2020-31-1-65,1,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,Other (please specify):,Cognition and Clinical Psychology,Yes,Yes,Available,"All data, materials, and analysis code have been made publicly available via the Open Science Framework",73,Public dataset generated by the authors,NA,https://osf.io/2mh48/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",Yes,JASP,NA,No,Yes,Preregistration documentation,Yes,Yes,Available,"All data, materials, and analysis code have been made publicly available via the Open Science Framework",73,Public set of materials generated by authors,NA,https://osf.io/2mh48/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",No,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797619893062,20,14
2020-31-1-75,4,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,No,Yes,Unavailable,"The ethics board overseeing this research withheld permission to post the data online, but the data are available from the lead author, D. A. Effron, on request.",86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Yes,Yes,Available,The verbatim text used in the experiments is available on the Open Science Framework,86,Public set of materials generated by authors,NA,https://osf.io/w4sfy/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",No,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797619887896,1,14
2020-31-1-88,2,Perception,NA,NA,Humans,NA,All other ages,Behaviour,Sensation,NA,No,Yes,Available,Raw data have been made publicly available via the Open Science Framework,96,Public dataset generated by the authors,NA,https://osf.io/49z3d/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",No,NA,NA,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797619892624,14,0
2019-30-7-1030,1,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,No,Yes,Available,"All data and materials have been made available to academic researchers via the UK Data Service and can be accessed at https://discover.ukdataservice.ac.uk/series/?sn=200011 (Study Number, or SN, 5050).",1038,Public dataset generated by the authors,NA,"https://discover.ukdataservice.ac.uk/series/?sn=200011 (Study Number, or SN, 5050).",Independent archive/repository,NA,Other (please specify):,Uk Data Service,Yes,Requires permission,NA,NA,NA,No,NA,NA,NA,NA,NA,No,Yes,Available,"All data and materials have been made available to academic researchers via the UK Data Service and can be accessed at https://discover.ukdataservice.ac.uk/series/?sn=200011 (Study Number, or SN, 5050).",1038,Public set of materials generated by authors,NA,"https://discover.ukdataservice.ac.uk/series/?sn=200011 (Study Number, or SN, 5050).",Independent archive/repository,NA,Other (please specify):,UK Data Service,Yes,Requires permission,NA,NA,NA,NA,NA,"Yes, but it is not freely accessible",http:// journals.sagepub.com/doi/suppl/10.1177/0956797619849440,7,7
2019-30-8-1111,1,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,Yes,Yes,Available,All data and materials have been made publicly available via the Open Science Framework and can be accessed at https://osf.io/ fnps3,1121,Public dataset generated by the authors,NA,https://osf.io/ fnps3,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",No,NA,NA,Yes,No,"File titled ""Original Items in French (and translation)""",Yes,Yes,Available,All data and materials have been made publicly available via the Open Science Framework and can be accessed at https://osf.io/ fnps3,1121,Public set of materials generated by authors,NA,https://osf.io/ fnps3,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, but only some of the materials are available",No,NA,"Yes, but it is not freely accessible",http:// journals.sagepub.com/doi/suppl/10.1177/0956797619849666,19,13
2019-30-7-1050,1,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,Yes,Yes,Available,All data and materials have been made publicly available via the Open Science Framework,1061,Public dataset generated by the authors,NA,https://osf.io/nqas7/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",Yes,JASP,NA,Yes,Yes,NA,Yes,Yes,Available,All data and materials have been made publicly available via the Open Science Framework,1061,Public set of materials generated by authors,NA,https://osf.io/nqas7/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, but only some of the materials are available",Yes,NA,"Yes, but it is not freely accessible",https://journals-sagepub-com.wwwproxy1.library.unsw.edu.au/doi/suppl/10.1177/0956797619849894,25,18
2019-30-7-1063,1,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,No,Yes,Unavailable,Data and materials for this study are available from the corresponding author on request.,1072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,Yes,Unavailable,Data and materials for this study are available from the corresponding author on request.,1072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,1,1
2019-30-7-1074,1,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals-sagepub-com.wwwproxy1.library.unsw.edu.au/doi/suppl/10.1177/0956797619849928,0,0
2019-30-7-1082,2,Perception,NA,NA,Humans,NA,All other ages,Behaviour,Sensation,NA,No,Yes,Unavailable,The drawing results are available in the Supplemental Material available online; further data and materials are available from the authors on request.,1086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,Yes,Unavailable,The drawing results are available in the Supplemental Material available online; further data and materials are available from the authors on request.,1086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797619847166,1,1
2019-30-7-1087,1,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,No,Yes,Unavailable,Data and materials for this study have not been made publicly available,1095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,Yes,Unavailable,Data and materials for this study have not been made publicly available,1095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797619849435,1,1
2019-30-9-1303,2,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,"Intelligence, memory, decision making, reasoning, language, problem solving, creative thinking",NA,Yes,Yes,Available,All data and materials for both experiments have been made publicly available via the Open Science Framework,1316,Public dataset generated by the authors,NA,osf.io/5qd94,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",Yes,R,NA,No,Yes,expfiles and figures,Yes,Yes,Available,All data and materials for both experiments have been made publicly available via the Open Science Framework,1316,Public set of materials generated by authors,NA,https://osf.io/yugkt/files/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, but only some of the materials are available",No,NA,"Yes, and it is freely accessible",https://journals-sagepub-com.wwwproxy1.library.unsw.edu.au/doi/suppl/10.1177/0956797619859531,20,13
2019-30-9-1318,1,Cognitive Neuroscience,NA,NA,Humans,NA,All other ages,Brain,NA,NA,No,Yes,Unavailable,Data and materials for this study have not been made publicly available,1331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,Yes,Unavailable,Data and materials for this study have not been made publicly available,1331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals-sagepub-com.wwwproxy1.library.unsw.edu.au/doi/suppl/10.1177/0956797619856658,1,1
2019-30-9-1333,1,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,No,Yes,Unavailable,The data used in this study can be accessed through the EDEN Mother-Child Cohort Study Group website (http://eden.vjf.inserm.fr/index.php/fr/) after completion of a request or registration form.,1342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797619861436,1,0
2019-30-9-1344,1,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,No,Yes,Unavailable,Data and materials for this study can be obtained from the first author on request.,1350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,Yes,Unavailable,Data and materials for this study can be obtained from the first author on request.,1350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,1,1
2019-30-9-1352,1,Perception,NA,NA,Humans,NA,All other ages,Both,Sensation,NA,No,Yes,Unavailable,Data and materials for this study have not been made publicly available,1359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,Yes,Unavailable,Data and materials for this study have not been made publicly available,1359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,1,1
2019-30-8-1123,1,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,Other (please specify):,Emotion and hormone levels,Yes,Yes,Available,All data have been made publicly available and can be accessed at https://osf.io/dxvrq.,1134,Public dataset generated by the authors,NA,https://osf.io/dxvrq,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",Yes,SPSS,NA,Yes,No,No,No,Yes,Available,All materials and scripts will be provided by the corresponding author on request.,1134,Other (please specify):,Upon Request,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,"Yes, but it is not freely accessible",http:// journals.sagepub.com/doi/suppl/10.1177/0956797619852027,20,3
2019-30-9-1259,1,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,Other (please specify):,Sensation and memory,Yes,Yes,Available,All data and analysis scripts have been made publicly available via the Open Science Framework and can be accessed at https://osf .io/t6gwf/,1270,Public dataset generated by the authors,NA,https://osf.io/t6gwf/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",No,NA,NA,Yes,Yes,No,Yes,Yes,Available,The materials used in this study are all provided in the text of this article.,1270,Public set of materials generated by authors,NA,https://journals.sagepub.com/doi/pdf/10.1177/0956797619854067?casa_token=5ML-pp3wEkwAAAAA:wXXgnpTmNeJbG2pYqornj_qW5ssp-iq5B1rHc5M28T5UK5TzfgRwJtCTNQiCYu-ZfzjWL3L0Lq4bpA,Other (please specify):,The article itself,NA,NA,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",Yes,NA,No,NA,24,19
2020-31-2-115,2,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,"Intelligence, memory, decision making, reasoning, language, problem solving, creative thinking",NA,Yes,Yes,Available,"All data, analysis scripts, and study materials have been made publicly available via the Open Science Framework",127,Public dataset generated by the authors,NA,https://osf.io/gx5tr/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",Yes,R,NA,No,Yes,References (in Mendeley file),Yes,Yes,Available,"All data, analysis scripts, and study materials have been made publicly available via the Open Science Framework",127,Other (please specify):,Supplementary Materials,https://journals.sagepub.com/doi/suppl/10.1177/0956797619890619,Other (please specify):,PDF document,NA,NA,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",Yes,Participant demographic information and additional findings,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797619890619,20,19
2020-31-2-129,2,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,"Intelligence, memory, decision making, reasoning, language, problem solving, creative thinking",NA,Yes,Yes,Available,All data have been made publicly available via the Open Science Framework,137,Public dataset generated by the authors,NA,https://osf.io/wtpmd/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",No,NA,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797619898134,19,0
2020-31-2-139,1,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,Yes,Yes,Available,All data have been made publicly available via the Open Science Framework,147,Public dataset generated by the authors,NA,https://osf.io/zr52m/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",No,NA,NA,No,No,No,Yes,Yes,Available,All materials are given in the current article.,147,Other (please specify):,In the article,https://journals-sagepub-com.wwwproxy1.library.unsw.edu.au/doi/full/10.1177/0956797619894205,Other (please specify):,The article,NA,NA,Yes,Yes,Yes,Yes,"Yes, but only some of the materials are available",No,No,"Yes, and it is freely accessible",https://journals-sagepub-com.wwwproxy1.library.unsw.edu.au/doi/suppl/10.1177/0956797619894205,14,13
2020-31-2-149,5 or more,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,Yes,Yes,Available,All data for Experiments 1 through 5 have been made publicly available via the Open Science Framework,158,Public dataset generated by the authors,NA,https://osf.io/e3a2k/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",No,NA,NA,No,Yes,The manuscript,No,Yes,Unavailable,All stimuli and scripts used in the experiments are available from the corresponding author.,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals-sagepub-com.wwwproxy1.library.unsw.edu.au/doi/suppl/10.1177/0956797619895282,19,1
2020-31-2-160,2,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,Yes,Yes,Available,All data and materials have been made publicly available via the Open Science Framework,168,Public dataset generated by the authors,NA,https://osf.io/4tdx5/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",Yes,Other (please specify):,R and Python and Octave,No,Yes,No,Yes,Yes,Available,All data and materials have been made publicly available via the Open Science Framework,168,Public set of materials generated by authors,NA,https:// osf.io/4tdx5/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",No,No,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797619895284,20,14
