Article ID,DOI
2019-30-12-1707,https://doi.org/10.1177/0956797619881134
2019-30-12-1724,https://doi.org/10.1177/0956797619878813
2019-30-12-1733,https://doi.org/10.1177/0956797619881133
2019-30-12-1745,https://doi.org/10.1177/0956797619882917
2019-30-12-1767,https://doi.org/10.1177/0956797619884324
2019-30-12-1780,https://doi.org/10.1177/0956797619885649
2019-30-12-1790,https://doi.org/10.1177/0956797619889044
2019-30-12-1791,https://doi.org/10.1177/0956797619890360
2019-30-12-1792,https://doi.org/10.1177/0956797619887750
2020-31-1-3,https://doi.org/10.1177/0956797619898664
2020-31-1-6,https://doi.org/10.1177/0956797619878698
2020-31-1-18,https://doi.org/10.1177/0956797619879139
2020-31-1-31,https://doi.org/10.1177/0956797619886809
2020-31-1-43,https://doi.org/10.1177/0956797619888837
2020-31-1-51,https://doi.org/10.1177/0956797619887348
2020-31-1-65,https://doi.org/10.1177/0956797619893062
2020-31-1-75,https://doi.org/10.1177/0956797619887896
2020-31-1-88,https://doi.org/10.1177/0956797619892624
2020-31-1-97,https://doi.org/10.1177/0956797619839045
2020-31-1-100,https://doi.org/10.1177/0956797619861720
2020-31-1-105,https://doi.org/10.1177/0956797619893606
2020-31-1-109,https://doi.org/10.1177/0956797619894971
2020-31-1-110,https://doi.org/10.1177/0956797619892892
2020-31-1-112,https://doi.org/10.1177/0956797619896776
2020-31-2-115,https://doi.org/10.1177/0956797619890619
2020-31-2-129,https://doi.org/10.1177/0956797619898134
2020-31-2-139,https://doi.org/10.1177/0956797619894205
2020-31-2-149,https://doi.org/10.1177/0956797619895282
2020-31-2-160,https://doi.org/10.1177/0956797619895284
2020-31-2-170,https://doi.org/10.1177/0956797619897915
2020-31-2-184,https://doi.org/10.1177/0956797619900315
2020-31-2-193,https://doi.org/10.1177/0956797619896270
2020-31-2-202,https://doi.org/10.1177/0956797619894557
2020-31-2-214,https://doi.org/10.1177/0956797619896273
2020-31-3-227,https://doi.org/10.1177/0956797619900321
2020-31-3-243,https://doi.org/10.1177/0956797619893078
2020-31-3-258,https://doi.org/10.1177/0956797619897588
2020-31-3-268,https://doi.org/10.1177/0956797619896357
2020-31-3-280,https://doi.org/10.1177/0956797619895286
2020-31-3-293,https://doi.org/10.1177/0956797619898826
2020-31-3-306,https://doi.org/10.1177/0956797619901267
2020-31-3-316,https://doi.org/10.1177/0956797620901760
2020-31-3-332,https://doi.org/10.1177/0956797620902101
2020-31-3-338,https://doi.org/10.1177/0956797619872762
2020-31-3-342,https://doi.org/10.1177/0956797620904134
2020-31-3-345,https://doi.org/10.1177/0956797620903718
2020-31-4-351,https://doi.org/10.1177/0956797620901766
2020-31-4-363,https://doi.org/10.1177/0956797620904985
2020-31-4-381,https://doi.org/10.1177/0956797620901749
2020-31-4-397,https://doi.org/10.1177/0956797620902380
2020-31-4-408,https://doi.org/10.1177/0956797620904154
2020-31-4-424,https://doi.org/10.1177/0956797619882022
2020-31-4-437,https://doi.org/10.1177/0956797620903717 
2020-31-4-449,https://doi.org/10.1177/0956797620905615
2020-31-4-460,https://doi.org/10.1177/0956797620903716
2020-31-4-468,https://doi.org/10.1177/0956797620904045
2020-31-5-483,https://doi.org/10.1177/0956797620920547
2020-31-5-488,https://doi.org/10.1177/0956797619900336
2020-31-5-505,https://doi.org/10.1177/0956797620910748
2020-31-5-518,https://doi.org/10.1177/0956797620909742
2020-31-5-531,https://doi.org/10.1177/0956797620904990
2020-31-5-548,https://doi.org/10.1177/0956797620903113
2020-31-5-568,https://doi.org/10.1177/0956797620904157
2020-31-5-582,https://doi.org/10.1177/0956797620904450
2020-31-5-592,https://doi.org/10.1177/0956797620910993
2020-31-6-607,https://doi.org/10.1177/0956797620904975
2020-31-6-623,https://doi.org/10.1177/0956797620904451
2020-31-6-634,https://doi.org/10.1177/0956797620916521
2020-31-6-644,https://doi.org/10.1177/0956797620916705
2020-31-6-654,https://doi.org/10.1177/0956797620907090
2020-31-6-663,https://doi.org/10.1177/0956797620915887
2020-31-6-678,https://doi.org/10.1177/0956797620916782
2020-31-6-702,https://doi.org/10.1177/0956797620916708
2020-31-6-715,https://doi.org/10.1177/0956797620919674
2020-31-6-729,https://doi.org/10.1177/0956797620916806
2020-31-6-741,https://doi.org/10.1177/0956797619866627
2020-31-6-748,https://doi.org/10.1177/0956797620924765
2020-31-6-756,https://doi.org/10.1177/0956797620924051
2020-31-6-760,https://doi.org/10.1177/0956797620923299
2020-31-6-762,https://doi.org/10.1177/0956797620930211
2020-31-7-767,https://doi.org/10.1177/0956797620941482
2020-31-7-770,https://doi.org/10.1177/0956797620939054
2020-31-7-781,https://doi.org/10.1177/0956797620917209
2020-31-7-792,https://doi.org/10.1177/0956797620916786
2020-31-7-807,https://doi.org/10.1177/0956797620919673
2020-31-7-822,https://doi.org/10.1177/0956797620919432
2020-31-7-835,https://doi.org/10.1177/0956797620924677
2020-31-7-848,https://doi.org/10.1177/0956797620922785
2020-31-7-858,https://doi.org/10.1177/0956797620922477
2020-31-7-865,https://doi.org/10.1177/0956797620923587
2020-31-7-873,https://doi.org/10.1177/0956797620921519
2020-31-7-881,https://doi.org/10.1177/0956797620929299
2020-31-7-890,https://doi.org/10.1177/0956797619885607
2020-31-7-898,https://doi.org/10.1177/0956797620930966
2020-31-7-901,https://doi.org/10.1177/0956797620933249
2020-31-7-902,https://doi.org/10.1177/0956797620937679
2020-31-7-905,https://doi.org/10.1177/0956797620941437
2020-31-8-911,https://doi.org/10.1177/0956797620920360
2020-31-8-927,https://doi.org/10.1177/0956797620921517
2020-31-8-944,https://doi.org/10.1177/0956797620925036
2020-31-8-957,https://doi.org/10.1177/0956797620929297
2020-31-8-968,https://doi.org/10.1177/0956797620929302
2020-31-8-978,https://doi.org/10.1177/0956797620927967
2020-31-8-987,https://doi.org/10.1177/0956797620929977
2020-31-8-1001,https://doi.org/10.1177/0956797620924814
2020-31-8-1013,https://doi.org/10.1177/0956797620929979
2020-31-8-1025,https://doi.org/10.1177/0956797620938160
2020-31-8-1036,https://doi.org/10.1177/0956797620940555
2020-31-8-1040,https://doi.org/10.1177/0956797620943835
2020-31-8-1048,https://doi.org/10.1177/0956797620943156
2020-31-8-1049,https://doi.org/10.1177/0956797620944137
2020-31-8-1050,https://doi.org/10.1177/0956797620944135
2020-31-8-1053,https://doi.org/10.1177/0956797620948511
2020-31-8-1054,https://doi.org/10.1177/0956797620947640
2020-31-9-1059,https://doi.org/10.1177/0956797620929984
2020-31-9-1071,https://doi.org/10.1177/0956797620927648
2020-31-9-1084,https://doi.org/10.1177/0956797620925039
2020-31-9-1097,https://doi.org/10.1177/0956797620929634
2020-31-9-1107,https://doi.org/10.1177/0956797620931108
2020-31-9-1117,https://doi.org/10.1177/0956797620931365
2020-31-9-1129,https://doi.org/10.1177/0956797620935584
2020-31-9-1140,https://doi.org/10.1177/0956797620931542
2020-31-9-1150,https://doi.org/10.1177/0956797620939534
2020-31-9-1161,https://doi.org/10.1177/0956797620933237
2020-31-9-1174,https://doi.org/10.1177/0956797620939940
2020-31-9-1183,https://doi.org/10.1177/0956797620948828
2020-31-9-1191,https://doi.org/10.1177/0956797620939588
2020-31-9-1200,https://doi.org/10.1177/0956797620949461
2020-31-9-1205,https://doi.org/10.1177/0956797620950665
2020-31-10-1211,https://doi.org/10.1177/0956797620960011
2020-31-10-1222,https://doi.org/10.1177/0956797620959594
2020-31-10-1236,https://doi.org/10.1177/0956797620958118
2020-31-10-1245,https://doi.org/10.1177/0956797620948810
2020-31-10-1261,https://doi.org/10.1177/0956797620943834
2020-31-10-1272,https://doi.org/10.1177/0956797620941840
2020-31-10-1283,https://doi.org/10.1177/0956797620951115
2020-31-10-1294,https://doi.org/10.1177/0956797620948821
2020-31-10-1302,https://doi.org/10.1177/0956797620948841
2020-31-10-1315,https://doi.org/10.1177/0956797620951125
2020-31-10-1325,https://doi.org/10.1177/0956797620952797
2020-31-10-1340,https://doi.org/10.1177/0956797620939532
2020-31-11-1351,https://doi.org/10.1177/0956797620956613
2020-31-11-1363,https://doi.org/10.1177/0956797620964422
2020-31-11-1374,https://doi.org/10.1177/0956797620967261
2020-31-11-1386,https://doi.org/10.1177/0956797620953883
2020-31-11-1396,https://doi.org/10.1177/0956797620954449
2020-31-11-1409,https://doi.org/10.1177/0956797620958650
2020-31-11-1422,https://doi.org/10.1177/0956797620954491
2020-31-11-1430,https://doi.org/10.1177/0956797620954492
2020-31-11-1439,https://doi.org/10.1177/0956797620956315
2020-31-11-1452,https://doi.org/10.1177/0956797620953842
2020-31-11-1461,https://doi.org/10.1177/0956797620955209
2020-31-11-1470,https://doi.org/10.1177/0956797620956986
2020-31-11-1475,https://doi.org/10.1177/0956797620964027
2020-31-12-1479,https://doi.org/10.1177/0956797620972688
2020-31-12-1488,https://doi.org/10.1177/0956797620966526
2020-31-12-1497,https://doi.org/10.1177/0956797620972116
2020-31-12-1511,https://doi.org/10.1177/0956797620922476
2020-31-12-1531,https://doi.org/10.1177/0956797620954815
2020-31-12-1544,https://doi.org/10.1177/0956797620954812
2020-31-12-1557,https://doi.org/10.1177/0956797620958651
2020-31-12-1573,https://doi.org/10.1177/0956797620959006
2020-31-12-1585,https://doi.org/10.1177/0956797620957625
2020-31-12-1602,https://doi.org/10.1177/0956797620957610
2020-31-12-1612,https://doi.org/10.1177/0956797620972975
2020-31-12-1614,https://doi.org/10.1177/0956797620971631
