Article ID,Authors,Year,Month,Title,DOI,Journal,Volume,Issue,Pages,Descriptors,Full author names
3-11-2014 CPS,"A Malik, GM Goodwin, L Hoppitt, EA Holmes",2014,Nov,Hypomanic Experience in Young Adults Confers Vulnerability to Intrusive Imagery After Experimental Trauma: Relevance for Bipolar Disorder.,10.1177/2167702614527433,CPS,2,6,675-684,,"Aiysha Malik, Guy M Goodwin, Laura Hoppitt, Emily A Holmes"
8-11-2014 CPS,"A Fang, EA Hoge, M Heinrichs, SG Hofmann",2014,Nov,Attachment Style Moderates the Effects of Oxytocin on Social Behaviors and Cognitions During Social Rejection: Applying an RDoC Framework to Social Anxiety.,10.1177/2167702614527948,CPS,2,6,740-747,,"Angela Fang, Elizabeth A Hoge, Markus Heinrichs, Stefan G Hofmann"
9-11-2014 CPS,"N Sadeh, JM Spielberg, SL Warren, GA Miller, W Heller",2014,Nov,Aberrant Neural Connectivity during Emotional Processing Associated with Posttraumatic Stress.,10.1177/2167702614530113,CPS,2,6,748-755,,"Naomi Sadeh, Jeffrey M Spielberg, Stacie L Warren, Gregory A Miller, Wendy Heller"
1-9-2014 CPS,"MA Whisman, DP Johnson, SH Rhee",2014,Sep,"A Behavior Genetic Analysis of Pleasant Events, Depressive Symptoms, and Their Covariation.",10.1177/2167702613512793,CPS,2,5,535-544,,"Mark A Whisman, Daniel P Johnson, Soo Hyun Rhee"
7-9-2014 CPS,"G Tabibnia, JD Creswell, T Kraynak, C Westbrook, E Julson, HA Tindle",2014,Sep,"Common prefrontal regions activate during self-control of craving, emotion, and motor impulses in smokers.",10.1177/2167702614522037,CPS,2,5,611-619,,"Golnaz Tabibnia, J David Creswell, Thomas Kraynak, Cecilia Westbrook, Erica Julson, Hilary A Tindle"
6-9-2014 CPS,"KG Creswell, T Chung, DB Clark, CS Martin",2014,Sep,Solitary Alcohol Use in Teens Is Associated With Drinking in Response to Negative Affect and Predicts Alcohol Problems in Young Adulthood.,10.1177/2167702613512795,CPS,2,5,602-610,,"Kasey G Creswell, Tammy Chung, Duncan B Clark, Christopher S Martin"
12-1-2015 CPS,"WK Bickel, AJ Quisenberry, L Moody, AG Wilson",2015,Jan,Therapeutic Opportunities for Self-Control Repair in Addiction and Related Disorders: Change and the Limits of Change in Trans-Disease Processes.,10.1177/2167702614541260,CPS,3,1,140-153,,"Warren K Bickel, Amanda J Quisenberry, Lara Moody, A George Wilson"
9-1-2015 CPS,"SE Blackwell, M Browning, A Mathews, A Pictet, J Welch, J Davies, P Watson, JR Geddes, EA Holmes",2015,Jan,Positive Imagery-Based Cognitive Bias Modification as a Web-Based Treatment Tool for Depressed Adults: A Randomized Controlled Trial.,10.1177/2167702614560746,CPS,3,1,91-111,,"Simon E Blackwell, Michael Browning, Andrew Mathews, Arnaud Pictet, James Welch, Jim Davies, Peter Watson, John R Geddes, Emily A Holmes"
6-1-2015 CPS,"AR Baskin-Sommers, JJ Curtin, JP Newman",2015,Jan,Altering the Cognitive-Affective Dysfunctions of Psychopathic and Externalizing Offender Subtypes with Cognitive Remediation.,10.1177/2167702614560744,CPS,3,1,45-57,,"Arielle R Baskin-Sommers, John J Curtin, Joseph P Newman"
4-3-2015 CPS,"PR Finn, RL Gunn, KR Gerst",2015,Mar,The Effects of a Working Memory Load on Delay Discounting in Those with Externalizing Psychopathology.,10.1177/2167702614542279,CPS,3,2,202-214,,"Peter R Finn, Rachel L Gunn, Kyle R Gerst"
3-3-2015 CPS,"JE Salvatore, F Aliev, K Bucholz, A Agrawal, V Hesselbrock, M Hesselbrock, L Bauer, S Kuperman, MA Schuckit, J Kramer, HJ Edenberg, TM Foroud, DM Dick",2015,Mar,Polygenic risk for externalizing disorders: Gene-by-development and gene-by-environment effects in adolescents and young adults.,10.1177/2167702614534211,CPS,3,2,189-201,,"Jessica E Salvatore, Fazil Aliev, Kathleen Bucholz, Arpana Agrawal, Victor Hesselbrock, Michie Hesselbrock, Lance Bauer, Samuel Kuperman, Marc A Schuckit, John Kramer, Howard J Edenberg, Tatiana M Foroud, Danielle M Dick"
12-3-2015 CPS,"HR Snyder, RH Kaiser, SL Warren, W Heller",2015,Mar,Obsessive-compulsive disorder is associated with broad impairments in executive function: A meta-analysis.,10.1177/2167702614534210,CPS,3,2,301-330,,"Hannah R Snyder, Roselinde H Kaiser, Stacie L Warren, Wendy Heller"
5-3-2015 CPS,"EJ Wolf, MW Miller, D Kilpatrick, HS Resnick, CL Badour, BP Marx, TM Keane, RC Rosen, MJ Friedman",2015,Mar,ICD-11 Complex PTSD in US National and Veteran Samples: Prevalence and Structural Associations with PTSD.,10.1177/2167702614545480,CPS,3,2,215-229,,"Erika J Wolf, Mark W Miller, Dean Kilpatrick, Heidi S Resnick, Christal L Badour, Brian P Marx, Terence M Keane, Raymond C Rosen, Matthew J Friedman"
1-3-2015 CPS,"KM Haut, TG van Erp, B Knowlton, CE Bearden, K Subotnik, J Ventura, KH Nuechterlein, TD Cannon",2015,Mar,Contributions of Feature Binding During Encoding and Functional Connectivity of the Medial Temporal Lobe Structures to Episodic Memory Deficits Across the Prodromal and First-Episode Phases of Schizophrenia.,10.1177/2167702614533949,CPS,3,2,159-174,,"Kristen M Haut, Theo G M van Erp, Barbara Knowlton, Carrie E Bearden, Kenneth Subotnik, Joseph Ventura, Keith H Nuechterlein, Tyrone D Cannon"
8-5-2015 CPS,"A Anticevic, JD Murray, DM Barch",2015,May,Bridging Levels of Understanding in Schizophrenia Through Computational Modeling.,10.1177/2167702614562041,CPS,3,3,433-459,,"Alan Anticevic, John D Murray, Deanna M Barch"
2-1-2013 CPS,"E Yang, D Tadin, DM Glasser, SW Hong, R Blake, S Park",2013,Jan,Visual context processing in schizophrenia.,10.1177/2167702612464618,CPS,1,1,5 -15,,"Eunice Yang, Duje Tadin, Davis M Glasser, Sang Wook Hong, Randolph Blake, Sohee Park"
2-3-2014 CPS,"DM Barch, R Cohen, J Csernansky",2014,Mar,Altered cognitive development in the siblings of individuals with schizophrenia.,10.1177/2167702613496244,CPS,2,2,138-151,,"Deanna M Barch, Rachel Cohen, John Csernansky"
3-3-2014 CPS,"DJ Dean, JA Bernard, JM Orr, A Pelletier-Baldelli, T Gupta, EE Carol, VA Mittal",2014,Mar,Cerebellar Morphology and Procedural Learning Impairment in Neuroleptic-Naive Youth at Ultrahigh Risk of Psychosis.,10.1177/2167702613500039,CPS,2,2,152-164,,"Derek J Dean, Jessica A Bernard, Joseph M Orr, Andrea Pelletier-Baldelli, Tina Gupta, Emily E Carol, Vijay A Mittal"
2-9-2014 CPS,"KL Klump, SE Racine, B Hildebrandt, SA Burt, M Neale, CL Sisk, S Boker, PK Keel",2014,Sep,Ovarian Hormone Influences on Dysregulated Eating: A Comparison of Associations in Women with versus without Binge Episodes.,10.1177/2167702614521794,CPS,2,4,545-559,,"Kelly L Klump, Sarah E Racine, Britny Hildebrandt, S Alexandra Burt, Michael Neale, Cheryl L Sisk, Steven Boker, Pamela K Keel"
4-9-2014 CPS,"TA Dennis, L O'Toole",2014,Sep,Mental Health on the Go: Effects of a Gamified Attention Bias Modification Mobile Application in Trait Anxious Adults.,10.1177/2167702614522228,CPS,2,5,576-590,,"Tracy A Dennis, Laura O'Toole"
11-1-2015 CPS,"J Joormann, CE Waugh, IH Gotlib",2015,Jan,Cognitive Bias Modification for Interpretation in Major Depression: Effects on Memory and Stress Reactivity.,10.1177/2167702614560748,CPS,3,1,126-139,,"Jutta Joormann, Christian E Waugh, Ian H Gotlib"
10-3-2015 CPS,"AC Cheadle, C Dunkel Schetter, R Gaines Lanzi, M Reed Vance, LS Sahadeo, MU Shalowitz, the Community Child Health Network",2015,Mar,Spiritual and Religious Resources in African American Women: Protection from Depressive Symptoms Following Birth.,10.1177/2167702614531581,CPS,3,2,283-291,,"Alyssa C D Cheadle, Christine Dunkel Schetter, Robin Gaines Lanzi, Maxine Reed Vance, Latoya S Sahadeo, Madeleine U Shalowitz, the Community Child Health Network"
1-4-2013 CPS,"MBJ Toffolo, MA van den Hout, ITC Hooge, IM Engelhard, DC Cath",2013,Apr,Mild Uncertainty Promotes Checking Behavior in Subclinical Obsessive-Compulsive Disorder,10.1177/2167702612472487,CPS,1,2,103- 109,,"Marieke B. J. Toffolo, Marcel A. van den Hout, Ignace T. C. Hooge, Iris M. Engelhard, Danielle C. Cath"
10-4-2013 CPS,"DN Shapiro, J Chandler, PA Mueller",2013,Apr,Using Mechanical Turk to Study Clinical Populations,10.1177/2167702612469015,CPS,1,2,213 - 220,,"Danielle N. Shapiro, Jesse Chandler, Pam A. Mueller"
2-4-2013 CPS,"JC Franklin, ME Puzia, KM Lee, GE Lee, EK Hanna, VL Spring, MJ Prinstein",2013,Apr,The Nature of Pain Offset Relief in Nonsuicidal Self-Injury: A Laboratory Study,10.1177/2167702612474440,CPS,1,2,110 - 119,,"Joseph C. Franklin, Megan E. Puzia, Kent M. Lee, Grace E. Lee, Eleanor K. Hanna, Victoria L. Spring, Mitchell J. Prinstein"
4-4-2013 CPS,"JA Cheyne, G Pennycook",2013,Apr,"Sleep Paralysis Postepisode Distress: Modeling Potential Effects of Episode Characteristics, General Psychological Distress, Beliefs, and Cognitive Style",10.1177/2167702612466656,CPS,1,2,135 - 148,,"James Allan Cheyne, Gordon Pennycook"
5-4-2013 CPS,"D Randles, JL Tracy",2013,Apr,Nonverbal Displays of Shame Predict Relapse and Declining Health in Recovering Alcoholics,10.1177/2167702612470645,CPS,1,2,149 - 155,,"Daniel Randles, Jessica L. Tracy"
6-4-2013 CPS,"T Dalgleish, L Navrady, E Bird, E Hill, BD Dunn, A Golden",2013,Apr,Method-of-Loci as a Mnemonic Device to Facilitate Access to Self-Affirming Personal Memories for Individuals With Depression,10.1177/2167702612468111,CPS,1,2,156 - 162,,"Tim Dalgleish, Lauren Navrady, Elinor Bird, Emma Hill, Barnaby D. Dunn, Ann-Marie Golden"
8-4-2013 CPS,"AE Kazdin, SM Rabbitt",2013,Apr,Novel Models for Delivering Mental Health Services and Reducing the Burdens of Mental Illness,10.1177/2167702612463566,CPS,1,2,170 - 191,,"Alan E. Kazdin, Sarah M. Rabbitt"
9-4-2013 CPS,"RW Wiers, TE Gladwin, W Hofmann, E Salemink, KR Ridderinkhof",2013,Apr,"Cognitive Bias Modification and Cognitive Control Training in Addiction and Related Psychopathology: Mechanisms, Clinical Perspectives, and Ways Forward",10.1177/2167702612466547,CPS,1,2,192 - 212,,"Reinout W. Wiers, Thomas E. Gladwin, Wilhelm Hofmann, Elske Salemink, K. Richard Ridderinkhof"
1-1-2013 CPS,AE Kazdin,2013,Jan,Advancing New Frontiers With Clinical Psychological Science: Editorial,10.1177/2167702612450145,CPS,1,1,3--4,,Alan E. Kazdin
10-1-2013 CPS,"MD Grilli, EL Glisky",2013,Jan,Imagining a Better Memory: Self-Imagination in Memory-Impaired Patients,10.1177/2167702612456464,CPS,1,1,93 - 99,,"Matthew D. Grilli, Elizabeth L. Glisky"
9-3-2014 CPS,"O Reuven, N Liberman, R Dar",2014,Mar,The Effect of Physical Cleaning on Threatened Morality in Individuals With Obsessive-Compulsive Disorder,10.1177/2167702613485565,CPS,2,2,224 - 229,,"Orna Reuven, Nira Liberman, Reuven Dar"
1-5-2014 CPS,"S Vrshek-Schallhorn, S Mineka, RE Zinbarg, MG Craske, JW Griffith, J Sutton, EE Redei, K Wolitzky-Taylor, C Hammen, EK Adam",2014,May,"Refining the Candidate Environment: Interpersonal Stress, the Serotonin Transporter Polymorphism, and Gene-Environment Interactions in Major Depression",10.1177/2167702613499329,CPS,2,3,235 - 248,,"Suzanne Vrshek-Schallhorn, Susan Mineka, Richard E. Zinbarg, Michelle G. Craske, James W. Griffith, Jonathan Sutton, Eva E. Redei, Kate Wolitzky-Taylor, Constance Hammen, Emma K. Adam"
10-5-2014 CPS,"AM Krypotos, M Effting, I Arnaudova, M Kindt, T Beckers",2014,May,"Avoided by Association: Acquisition, Extinction, and Renewal of Avoidance Tendencies Toward Conditioned Fear Stimuli",10.1177/2167702613503139,CPS,2,3,336 - 343,,"Angelos-Miltiadis Krypotos, Marieke Effting, Inna Arnaudova, Merel Kindt, Tom Beckers"
11-5-2014 CPS,"DH. Barlow, S Sauer-Zavala, JR Carl, JR Bullis, KK Ellard",2014,May,"The Nature, Diagnosis, and Treatment of Neuroticism: Back to the Future",10.1177/2167702613505532,CPS,2,3,344 - 365,,"David H. Barlow, Shannon Sauer-Zavala, Jenna R. Carl, Jacqueline R. Bullis, Kristen K. Ellard"
2-5-2014 CPS,"DA Sbarra, RE Emery, CR Beam, BL Ocker",2014,May,Marital Dissolution and Major Depression in Midlife: A Propensity Score Analysis,10.1177/2167702613498727,CPS,2,3,249 - 257,,"David A. Sbarra, Robert E. Emery, Christopher R. Beam, Bailey L. Ocker"
3-5-2014 CPS,"AP DePrince, SE Buckingham, J Belknap",2014,May,The Geography of Intimate Partner Abuse Experiences and Clinical Responses,10.1177/2167702613507556,CPS,2,3,258 - 271,,"Anne P. DePrince, Susan E. Buckingham, Joanne Belknap"
4-5-2014 CPS,"OS Schwartz, ML Byrne, JG Simmons, S Whittle, P Dudgeon, MBH Yap, LB Sheeber, NB Allen",2014,May,Parenting During Early Adolescence and Adolescent-Onset Major Depression: A 6-Year Prospective Longitudinal Study,10.1177/2167702613505531,CPS,2,3,272 - 286,,"Orli S. Schwartz, Michelle L. Byrne, Julian G. Simmons, Sarah Whittle, Paul Dudgeon, Marie B. H. Yap, Lisa B. Sheeber, Nicholas B. Allen"
6-5-2014 CPS,"JM Hooley, SA St. Germain",2014,May,"Nonsuicidal Self-Injury, Pain, and Self- Criticism: Does Changing Self-Worth Change Pain Endurance in People Who Engage in Self-Injury?",10.1177/2167702613509372,CPS,2,3,297-305,,"Jill M Hooley, Sarah A St. Germain"
7-5-2014 CPS,"JC Franklin, KM. Lee, ME Puzia, MJ Prinstein",2014,May,Recent and Frequent Nonsuicidal Self-Injury Is Associated With Diminished Implicit and Explicit Aversion Toward Self-Cutting Stimuli,10.1177/2167702613503140,CPS,2,3,306 - 318,,"Joseph C. Franklin, Kent M. Lee, Megan E. Puzia, Mitchell J. Prinstein"
9-5-2014 CPS,"P Hot, KT Ramdeen, C Borg, T Bollon, P Couturier",2014,May,Impaired Decision Making in Alzheimer's Disease: A Deficit of Cognitive Strategy Selection?,10.1177/2167702613504094,CPS,2,3,328 - 335,,"Pascal Hot, Kylee T. Ramdeen, Céline Borg, Thierry Bollon, Pascal Couturier"
1-11-2014 CPS,AE Kazdin,2014,Nov,Editor's Comment on the July 2014 Special Series on Emotions and Psychopathology,10.1177/2167702614551692,CPS,2,6,659 - 660,,Alan E. Kazdin
10-11-2014 CPS,"J Yiend, C Parnes, K Shepherd, M Roche, M Cooper",2014,Nov,Negative Self-Beliefs in Eating Disorders: A Cognitive-Bias-Modification Study,10.1177/2167702614528163,CPS,2,6,756 - 766,,"Jenny Yiend, Charlotte Parnes, Kirsty Shepherd, Mary-Kate Roche, Myra J. Cooper"
11-11-2014 CPS,D Mukherjee and JW Kable,2014,Nov,Value-Based Decision Making in Mental Illness: A Meta-Analysis,10.1177/2167702614531580,CPS,2,6,767 - 782,,"Dahlia Mukherjee, Joseph W. Kable"
2-11-2014 CPS,"J Park, O Ayduk, L O'Donnell, J Chun, J Gruber, M Kamali, MG McInnis, P Deldin, E Kross",2014,Nov,Regulating the High: Cognitive and Neural Processes Underlying Positive Emotion Regulation in Bipolar I Disorder,10.1177/2167702614527580,CPS,2,6,661 - 674,,"Jiyoung Park, Ozlem Ayduk, Lisa O'Donnell, Jinsoo Chun, June Gruber, Masoud Kamali, Melvin G. McInnis, Patricia Deldin, Ethan Kross"
4-11-2014 CPS,"WK Bickel, RD Landes, Z Kurth-Nelson, AD Redish",2014,Nov,A Quantitative Signature of Self-Control Repair: Rate-Dependent Effects of Successful Addiction Treatment,DOI: 10.1177/2167702614528162,CPS,2,6,685 - 695,,"Warren K. Bickel, Reid D. Landes, Zeb Kurth-Nelson, A. David Redish"
5-11-2014 CPS,"L Jobson, AR Moradi, V Rahimi-Movaghar, MA Conway, T Dalgleish",2014,Nov,Culture and the Remembering of Trauma,10.1177/2167702614529763,CPS,2,6,696 - 713,,"Laura Jobson, Ali Reza Moradi, Vafa Rahimi-Movaghar, Martin A. Conway, Tim Dalgleish"
6-11-2014 CPS,"P Hertel, N Mor, C Ferrari, O Hunt, N Agrawal",2014,Nov,Looking on the Dark Side: Rumination and Cognitive-Bias Modification,10.1177/2167702614529111,CPS,2,6,714 - 726,,"Paula Hertel, Nilly Mor, Chiara Ferrari, Olivia Hunt, Nupur Agrawal"
7-11-2014 CPS,"F D'Olimpio, F Mancini",2014,Nov,Role of Deontological Guilt in Obsessive-Compulsive Disorder-Like Checking and Washing Behaviors,10.1177/2167702614529549,CPS,2,6,727 - 739,,"Francesca D'Olimpio, Francesco Mancini"
10-9-2014 CPS,"KH Bentley, MK Nock, DH Barlow",2014,Sep,The Four-Function Model of Nonsuicidal Self-Injury: Key Directions for Future Research,10.1177/2167702613514563,CPS,2,5,638 - 656,,"Kate H. Bentley, Matthew K. Nock, David H. Barlow"
3-9-2014 CPS,"EM Clerkin, BA Teachman, AR Smith, U Buhlmann",2014,Sep,"Specificity of Implicit-Shame Associations: Comparison Across Body Dysmorphic, Obsessive-Compulsive, and Social Anxiety Disorders",10.1177/2167702614524944,CPS,2,5,560 - 575,,"Elise M. Clerkin, Bethany A. Teachman, April R. Smith, Ulrike Buhlmann"
5-9-2014 CPS,"DE Choe, DS Shaw, LW Hyde, EE Forbes",2014,Sep,Interactions Between Monoamine Oxidase A and Punitive Discipline in African American and Caucasian Men's Antisocial Behavior,10.1177/2167702613518046,CPS,2,5,591 - 601,,"Daniel Ewon Choe, Daniel S. Shaw, Luke W. Hyde, Erika E. Forbes"
8-9-2014 CPS,"R Abend, DS Pine, NA Fox, Y Bar-Haim",2014,Sep,Learning and Memory Consolidation Processes of Attention-Bias Modification in Anxious and Nonanxious Individuals,10.1177/2167702614526571,CPS,2,5,620 - 627,,"Rany Abend, Daniel S. Pine, Nathan A. Fox, Yair Bar-Haim"
9-9-2014 CPS,"A Karmiloff-Smith, BJ Casey, E Massand, P Tomalski, MSC Thomas",2014,Sep,Environmental and Genetic Influences on Neurocognitive Development: The Importance of Multiple Methodologies and Time-Dependent Intervention,10.1177/2167702614521188,CPS,2,5,628 - 637,,"Annette Karmiloff-Smith, B. J. Casey, Esha Massand, Przemyslaw Tomalski, Michael S. C. Thomas"
1-1-2015 CPS,"SR Masland, JM Hooley, LM Tully, K Dearing, IH Gotlib",2015,Jan,Cognitive-Processing Biases in Individuals High on Perceived Criticism,10.1177/2167702614529935,CPS,3,1,3--14,,"Sara R. Masland, Jill M. Hooley, Laura M. Tully, Karen Dearing, Ian H. Gotlib"
10-1-2015 CPS,"JYF Lau, V Pile",2015,Jan,Can Cognitive Bias Modification of Interpretations Training Alter Mood States in Children and Adolescents? A Reanalysis of Data From Six Studies,10.1177/2167702614549596,CPS,3,1,112 - 125,,"Jennifer Y. F. Lau, Victoria Pile"
2-1-2015 CPS,"N Cohen, N Mor, A Henik",2015,Jan,Linking Executive Control and Emotional Response: A Training Procedure to Reduce Rumination,10.1177/2167702614530114,CPS,3,1,15 - 25,,"Noga Cohen, Nilly Mor, Avishai Henik"
3-1-2015 CPS,"JJ Muehlenkamp, LP Swenson, KL Batejan, SM Jarvi",2015,Jan,Emotional and Behavioral Effects of Participating in an Online Study of Nonsuicidal Self-Injury: An Experimental Analysis,10.1177/2167702614531579,CPS,3,1,26 - 37,,"Jennifer J. Muehlenkamp, Lance P. Swenson, Kristen L. Batejan, Stephanie M. Jarvi"
4-1-2015 CPS,AE Kazdin,2015,Jan,Editor's Introduction to the Special Series: Targeted Training of Cognitive Processes for Behavioral and Emotional Disorders,10.1177/2167702614560751,CPS,3,1,38,,Alan E. Kazdin
5-1-2015 CPS,LS Onken,2015,Jan,Cognitive Training: Targeting Cognitive Processes in the Development of Behavioral Interventions,10.1177/2167702614561512,CPS,3,1,39 - 44,,Lisa S. Onken
7-1-2015 CPS,"C MacLeod, PJF Clarke",2015,Jan,The Attentional Bias Modification Approach to Anxiety Intervention,10.1177/2167702614560749,CPS,3,1,58 - 78,,"Colin MacLeod, Patrick J. F. Clarke"
8-1-2015 CPS,"A Collier, GJ Siegle",2015,Jan,Individual Differences in Response to Prediction Bias Training,10.1177/2167702614560747,CPS,3,1,79 - 90,,"Amanda Collier, Greg J. Siegle"
